Name;Nationality;Gender;Probable Age;Last Known Location;Passport ID;Crime
Tatiana Huggons;Mexico;Female;47;Indonesia;331518524;Theft
Denise Gittings;Ukraine;Female;79;China;216987174;Murder
Adina Pesek;Indonesia;Female;67;Norway;308553637;Rape
Margret Jaan;Russia;Male;44;United States;512295418;CyberCrime
Emmy Ricson;Tuvalu;Female;78;Greece;199397498;Terrorism
June Kibbye;South Korea;Female;35;Argentina;616262728;Fraud
Elyssa Nottram;China;Male;59;Poland;795804440;Theft
Cicily Palmer;Pakistan;Female;47;Nigeria;727578000;Murder
Cara Horney;Indonesia;Female;52;South Africa;652404247;Rape
Sigfried Wiffen;Ukraine;Male;34;Portugal;292298083;CyberCrime
Marnia Alvarado;Thailand;Female;33;Ukraine;387025168;Terrorism
Benedict Lismore;China;Female;35;Peru;103841700;Fraud
Steffane Passman;Portugal;Male;72;Syria;516738654;Theft
Grier Fuzzey;Colombia;Male;45;France;642480239;Murder
Bebe Crosio;Guatemala;Male;51;Czech Republic;321250181;Rape
Shell Bold;Indonesia;Female;76;Greece;774941142;CyberCrime
Ninetta Ruselin;Czech Republic;Male;79;Netherlands;214701457;Terrorism
Rozina Arnatt;Peru;Female;47;Indonesia;331381150;Fraud
Babb Bulbrook;Croatia;Female;81;Russia;586283311;Theft
Marlyn Higgoe;Russia;Male;72;China;790067442;Murder
Filbert Defty;Libya;Male;50;Russia;337716443;Rape
Emmett Ickowics;Jamaica;Female;50;Portugal;524289255;CyberCrime
Nicky Gledstane;Russia;Male;64;Indonesia;331292751;Terrorism
Del Corter;Russia;Female;68;Japan;759713740;Fraud
Seamus Murrill;France;Female;75;China;665291060;Theft
Kirsten Edeler;China;Male;24;Ireland;952396353;Murder
Constantine Jeremiah;Brazil;Female;25;Philippines;945922226;Rape
Lombard Drewery;United States;Male;43;Russia;799888071;CyberCrime
Marabel Hambidge;Philippines;Male;40;China;977291195;Terrorism
Jae Wingatt;China;Male;40;Indonesia;917675609;Fraud
Kettie Acott;Argentina;Male;59;Mexico;852303269;Theft
Eugenius Huntly;Serbia;Male;19;Sweden;258839823;Murder
Hernando Gauson;Mexico;Female;43;Indonesia;238988493;Rape
Teodoor Fowley;Egypt;Male;43;Indonesia;384721634;CyberCrime
Rafaela Sanchez;China;Female;22;Russia;395217174;Terrorism
Pauli Krystek;Indonesia;Female;70;China;565439052;Fraud
Rupert Rieflin;China;Female;52;South Korea;397705221;Theft
Tod Olenichev;Poland;Male;80;Brazil;299278075;Murder
Gav Arent;Nigeria;Female;44;Indonesia;583786386;Rape
Claretta Piller;Russia;Male;53;Ukraine;865651937;CyberCrime
Olivette Dodimead;China;Male;64;China;587856876;Terrorism
Dulcea Forsyde;Portugal;Female;22;Iran;620047223;Fraud
Oneida Littlemore;China;Female;71;Indonesia;944865479;Theft
Garrick Skyrm;Czech Republic;Male;55;China;702471340;Murder
Shawn Lowton;Indonesia;Female;23;Liberia;581237796;Rape
Barrie Luberti;Malaysia;Male;46;Jordan;871143735;CyberCrime
Viv Di Bartolomeo;Czech Republic;Female;39;Australia;138957341;Terrorism
Stanfield Thomasen;China;Male;37;Indonesia;390219502;Fraud
Sandor Shacklady;Ethiopia;Female;78;France;281389399;Theft
Meier Amar;Russia;Female;26;Philippines;377381333;Murder
Winny Sheaber;China;Female;61;Portugal;447659030;Rape
Rolph Hynard;Philippines;Male;37;China;570320533;CyberCrime
Clarine Mewe;France;Male;59;China;583601652;Terrorism
Jorie Silk;Serbia;Male;54;Thailand;199584615;Fraud
Lexi Lettson;Poland;Female;53;Japan;740101964;Theft
Feliza Nicholl;Indonesia;Female;74;Burkina Faso;869893288;Murder
Osborne Elkins;Japan;Male;20;China;511977143;Rape
Kimberly Lingwood;Sweden;Male;84;Albania;287956919;CyberCrime
Reggy Dreher;Russia;Male;26;Indonesia;303330225;Terrorism
Graig Redfearn;Greece;Female;79;United States;527419222;Fraud
Tess Kiloh;Indonesia;Female;49;Poland;155791812;Theft
Deborah Forsdicke;France;Male;40;Indonesia;211318337;Murder
Ramona Melding;Mexico;Male;38;Brazil;563789987;Rape
Bendicty Campion;France;Male;79;Indonesia;956318817;CyberCrime
Birgitta Don;Lesotho;Male;46;Bosnia and Herzegovina;431916670;Terrorism
Cale Eastcott;Madagascar;Male;84;Czech Republic;223221002;Fraud
Darcie McPhelimey;Ireland;Female;81;China;400648008;Theft
Beckie Ruprechter;Sweden;Male;71;Portugal;579893353;Murder
Elena Yon;Pakistan;Female;77;Indonesia;870952325;Rape
Tan Murkus;United States;Female;77;North Korea;625307660;CyberCrime
Arnuad Probert;Philippines;Female;74;Iran;313033545;Terrorism
Worthy Bertin;France;Male;23;Afghanistan;173884956;Fraud
Cordi Corish;Colombia;Female;50;Indonesia;116709252;Theft
Dilly Flintiff;China;Female;28;China;247583839;Murder
Donnajean Holbury;Ukraine;Female;45;Indonesia;268171419;Rape
Chelsey Edgcumbe;Poland;Male;62;Indonesia;355265115;CyberCrime
Carmina Suckling;Japan;Male;78;Nepal;655406243;Terrorism
York Wroughton;China;Male;21;China;496180878;Fraud
Ruprecht Eastmead;South Korea;Male;47;China;396110052;Theft
Sonny Antognelli;Indonesia;Male;37;Philippines;407014749;Murder
Luis Devonshire;Japan;Female;76;Nicaragua;308217215;Rape
Basia Genthner;Philippines;Male;76;Argentina;941914116;CyberCrime
Conrado Carstairs;Indonesia;Male;66;Indonesia;659028907;Terrorism
Pauli Southeran;Marshall Islands;Female;34;Colombia;431983798;Fraud
Burnaby Munslow;China;Male;68;Indonesia;463414763;Theft
Kyle Damrell;Thailand;Female;62;Russia;490294538;Murder
Huey Linley;China;Male;24;Portugal;244849758;Rape
Alla Brisset;Sweden;Male;18;Indonesia;818863912;CyberCrime
Germain Wethered;Mexico;Male;42;South Korea;434650597;Terrorism
Tiffani Kelloway;Japan;Male;79;China;955089690;Fraud
Robyn Dallemore;Indonesia;Male;81;Russia;254340209;Theft
Merline Elsby;Nigeria;Female;50;Colombia;154752371;Murder
Angelique Gomery;China;Female;23;China;656756870;Rape
Saba Houson;Russia;Female;42;Czech Republic;628911996;CyberCrime
Pearla Dunkirk;Philippines;Male;37;Brazil;238660927;Terrorism
Kerrill Coughtrey;China;Male;41;Afghanistan;982692805;Fraud
Ebeneser Cready;China;Male;32;Bahamas;791157738;Theft
Carter Bisiker;China;Female;33;Serbia;477560475;Murder
Renie Riddington;Guatemala;Female;34;China;383051300;Rape
Roselia Deavin;Czech Republic;Male;83;China;979289459;CyberCrime
Todd Malster;Indonesia;Female;29;Poland;226470572;Terrorism
Delmer Cacacie;Poland;Male;85;Philippines;379624175;Fraud
Issi McIndoe;Colombia;Female;29;Armenia;132219445;Theft
Michel Goatcher;France;Male;37;Indonesia;199672969;Murder
Ches Normabell;China;Female;28;Netherlands;659406047;Rape
Gris Gieraths;Philippines;Male;64;Argentina;120614194;CyberCrime
Austina Hunsworth;China;Female;63;Indonesia;643606984;Terrorism
Ceil Fishleigh;Russia;Female;42;Guyana;673945208;Fraud
Reuben Coulthard;Indonesia;Female;35;Indonesia;779370193;Theft
Lanny McGinny;China;Male;76;China;908261472;Murder
Christy Sinott;China;Female;27;China;172022702;Rape
Magdaia Patifield;Belarus;Female;59;Portugal;525117761;CyberCrime
Duffy Vanyatin;Sweden;Male;66;Chile;510215857;Terrorism
Marleah Covey;Democratic Republic of the Congo;Female;69;Sweden;688872501;Fraud
Lester O'Bradane;Poland;Male;85;Nigeria;135889809;Theft
Stan Hughes;Russia;Male;59;Thailand;107881085;Murder
Enrica Clipston;Bosnia and Herzegovina;Female;20;Ukraine;729268125;Rape
Scott Gouinlock;Djibouti;Female;37;Ireland;514881551;CyberCrime
Tremayne Haddrill;Indonesia;Male;78;Honduras;787880333;Terrorism
Alexandr Digle;Philippines;Male;39;China;832512755;Fraud
Modestine Holdron;China;Female;84;Iceland;889198177;Theft
Deborah Jaulme;Thailand;Male;74;China;901816997;Murder
Brendis Shorto;Greece;Male;85;Sweden;247975423;Rape
Storm Ebhardt;Indonesia;Female;21;Chad;152046965;CyberCrime
Prentiss Shynn;Croatia;Female;62;Ghana;217091981;Terrorism
Traci Tippings;Philippines;Male;33;Indonesia;301763549;Fraud
Myrta Ghidoni;Ukraine;Male;81;China;953406137;Theft
Hoyt Huddy;Thailand;Male;44;Sweden;391911848;Murder
Linnell Lars;Portugal;Female;60;Slovenia;395926005;Rape
Mallory Piecha;United States;Male;78;Czech Republic;117114256;CyberCrime
