Name;Nationality;Gender;Age;Passport ID;Entry Location;Date of entry
Hatty Losty;Syria;Female;39;999819132;Joao Paulo II Airport;10/01/2021
Guthrey Poltone;China;Female;70;578871927;Sa Carneiro Airport;29/05/2020
Bess McRuvie;Greece;Female;52;816698955;Valenca Border;24/10/2020
Lethia Sara;China;Female;57;651525506;Beja Airport;20/01/2021
Roslyn Wann;China;Male;64;253151167;Valenca Border;24/01/2020
Jud Rippen;Indonesia;Male;51;338369048;Cristiano Ronaldo Airport;05/07/2020
Mahala Santon;China;Male;18;624369698;Castro Marim Border;01/01/2021
Neville Bozier;China;Female;39;291499965;Valenca Border;12/03/2020
Dorita Reynalds;Belarus;Male;83;938310963;Elvas Border;30/12/2020
Parrnell Byllam;Portugal;Male;78;791702578;Faro Airport;02/03/2020
Xylia Abrams;Russia;Male;63;338811027;Castro Marim Border;10/01/2021
Dyanne Blazic;Portugal;Female;25;400001126;Faro Airport;26/05/2020
Morty Durward;Indonesia;Male;84;181272092;Beja Airport;19/04/2021
Iggy Jorge;Haiti;Female;73;699119831;Faro Airport;11/10/2020
Kerk Bayless;Indonesia;Male;82;855939852;Vilar Formoso Border;04/05/2020
Faina Andersen;Brazil;Female;76;424674071;Vilar Formoso Border;13/08/2020
Yoshiko Cuddy;Russia;Female;62;344116515;Beja Airport;17/01/2021
Elsa Gatecliffe;Russia;Female;51;557424927;Braganca Airport;27/02/2021
Farlee Loren;North Korea;Male;61;393922553;Cristiano Ronaldo Airport;04/01/2021
Kristen Grady;Philippines;Male;20;689514298;Beja Airport;04/06/2020
Pennie Folland;China;Female;84;796497431;Joao Paulo II Airport;24/11/2020
Corry Lorking;Netherlands;Male;44;630145871;Joao Paulo II Airport;26/10/2020
Sari Lacheze;China;Male;58;216709412;Vilar Formoso Border;18/04/2021
Sosanna Rembaud;Paraguay;Female;75;343616984;Braganca Airport;07/05/2021
Ella Cottrill;China;Male;20;989756091;Castro Marim Border;25/09/2020
Bernette Hrishanok;Philippines;Male;37;941554891;Braganca Airport;08/01/2020
Melly Scardifield;United States;Female;20;827141811;Faro Airport;08/06/2020
Berri Roo;Honduras;Female;49;388784349;Elvas Border;23/10/2020
Karoline Bleby;Paraguay;Male;46;630612112;Cristiano Ronaldo Airport;22/02/2021
Rodd St Ange;Russia;Male;50;329655071;Elvas Border;18/10/2020
Myrtie Crosswaite;China;Male;39;178299964;Elvas Border;08/07/2020
Oliviero Broughton;Peru;Male;79;825306214;Cristiano Ronaldo Airport;26/06/2020
Harriot Arnull;Poland;Male;80;588510784;Valenca Border;24/05/2021
Geraldine Heitz;China;Male;76;765490424;Beja Airport;11/08/2020
Amara Marquis;Indonesia;Female;28;978383038;Sa Carneiro Airport;06/04/2020
Antonin Chark;Ukraine;Female;20;198059932;Sa Carneiro Airport;28/03/2020
Merilee Alebrooke;Bangladesh;Male;54;640809274;Beja Airport;02/10/2020
Thomas MacAskie;Honduras;Female;67;266474977;Sa Carneiro Airport;21/05/2021
Babb Edlington;Philippines;Female;83;514746249;Valenca Border;29/07/2020
Tabb Gummie;Thailand;Male;85;715171006;Cristiano Ronaldo Airport;09/05/2020
Caitrin Shynn;China;Female;74;603519410;Beja Airport;23/01/2020
Delinda Babidge;Syria;Male;21;746903689;Vilar Formoso Border;31/01/2021
Muffin Swancott;Croatia;Female;67;337066650;Faro Airport;25/05/2020
Golda De Zuani;Italy;Female;26;357170306;Joao Paulo II Airport;14/02/2020
Anna-diana Burl;Uruguay;Female;21;450669741;Castro Marim Border;18/03/2020
Lorens Lindstrom;China;Female;48;479100311;Sa Carneiro Airport;07/01/2021
Con Yule;Palestinian Territory;Male;45;995052119;Joao Paulo II Airport;12/05/2021
Debi Phethean;Poland;Male;78;938284090;Joao Paulo II Airport;18/10/2020
Maure Jakoub;Indonesia;Male;21;794350119;Joao Paulo II Airport;25/04/2020
Delbert Klimashevich;Sierra Leone;Male;46;594757624;Sa Carneiro Airport;15/10/2020
Jessamine Foss;China;Female;54;253794712;Elvas Border;21/12/2020
Clary Esposi;Ukraine;Male;50;667448089;Cristiano Ronaldo Airport;03/04/2021
Waneta Jobling;Indonesia;Male;63;389671107;Joao Paulo II Airport;17/12/2020
Gert Syseland;Philippines;Male;39;793655775;Faro Airport;25/10/2020
Jerald Priver;China;Male;24;654606669;Vilar Formoso Border;22/01/2020
Chane Petrelli;Russia;Male;47;916560085;Joao Paulo II Airport;25/04/2021
Nikos Ericsson;France;Female;62;975432177;Valenca Border;05/10/2020
Ingunna De Freyne;Vietnam;Female;85;356465421;Vilar Formoso Border;26/07/2020
Selie Bister;Kenya;Female;25;513474124;Faro Airport;26/02/2021
Candis Tucsell;Brazil;Male;55;684796825;Joao Paulo II Airport;09/02/2020
Shawnee Vaun;Russia;Female;73;564505565;Joao Paulo II Airport;27/01/2020
Liane Edeson;Belarus;Female;62;180306284;Faro Airport;17/03/2021
Laurena Rames;United States;Female;23;139663181;Castro Marim Border;25/04/2020
